public_id,resource_type,size_bytes,size_mb,format,uploaded_at,cloudinary_url
ee0b46df-8f02-4142-942e-a23a6c45a794_pqhdrq,image,625786,0.60,jpg,2025-10-11T15:06:16Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1760195176/ee0b46df-8f02-4142-942e-a23a6c45a794_pqhdrq.jpg
4a3f571a-fff1-44a3-a88d-e44bd4162a3f_wehxaq,image,860166,0.82,jpg,2025-10-11T00:43:03Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1760143383/4a3f571a-fff1-44a3-a88d-e44bd4162a3f_wehxaq.jpg
3d4c152f-ad16-441b-9664-aa7bb976c9ce_duwejp,image,388434,0.37,jpg,2025-10-10T23:28:26Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1760138906/3d4c152f-ad16-441b-9664-aa7bb976c9ce_duwejp.jpg
4a3f571a-fff1-44a3-a88d-e44bd4162a3f_lwiqgm,image,860166,0.82,jpg,2025-10-10T23:15:00Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1760138100/4a3f571a-fff1-44a3-a88d-e44bd4162a3f_lwiqgm.jpg
7ce11cdb-e58a-4b76-b1fa-8bf9a663f507_kg4yz4,image,263129,0.25,jpg,2025-10-10T23:12:36Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1760137956/7ce11cdb-e58a-4b76-b1fa-8bf9a663f507_kg4yz4.jpg
4a3f571a-fff1-44a3-a88d-e44bd4162a3f_rudman,image,860166,0.82,jpg,2025-10-10T21:35:30Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1760132130/4a3f571a-fff1-44a3-a88d-e44bd4162a3f_rudman.jpg
c64d668d-e90d-4355-ad30-d66fcf5c6c7f_a5c7wb,image,1415197,1.35,jpg,2025-10-10T21:34:49Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1760132089/c64d668d-e90d-4355-ad30-d66fcf5c6c7f_a5c7wb.jpg
c64d668d-e90d-4355-ad30-d66fcf5c6c7f_mug7zc,image,1415197,1.35,jpg,2025-10-10T21:23:15Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1760131395/c64d668d-e90d-4355-ad30-d66fcf5c6c7f_mug7zc.jpg
cb0b20ea-2334-4075-826e-a2d85aa0f186_kwgyym,image,1044948,1.00,jpg,2025-10-10T20:44:00Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1760129040/cb0b20ea-2334-4075-826e-a2d85aa0f186_kwgyym.jpg
3def8b82-9f9d-4739-a58b-e00c9d91ab56_kgb63r,image,1171881,1.12,jpg,2025-10-10T20:22:31Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1760127751/3def8b82-9f9d-4739-a58b-e00c9d91ab56_kgb63r.jpg
prompts/pgyvmhdogt0s6gpp1iqd,image,0,0.00,jpg,2025-10-05T22:22:34Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1759702954/prompts/pgyvmhdogt0s6gpp1iqd.jpg
prompts/uyqgaleycxeirbjxzsda,image,0,0.00,jpg,2025-10-05T21:55:02Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1759701302/prompts/uyqgaleycxeirbjxzsda.jpg
prompts/ir4xf4qaff2czsbbiesa,image,0,0.00,jpg,2025-10-05T21:53:58Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1759701238/prompts/ir4xf4qaff2czsbbiesa.jpg
prompts/ee9yj6tzsnw3qwyd6sdo,image,0,0.00,jpg,2025-10-05T21:50:20Z,https://res.cloudinary.com/dj0uufabo/image/upload/v1759701020/prompts/ee9yj6tzsnw3qwyd6sdo.jpg
